READ_00001	TX0017
READ_00002	TX0005
READ_00003	TX0001
READ_00004	TX0010
READ_00005	TX0004
READ_00006	TX0018
READ_00007	TX0017
READ_00008	TX0015
READ_00009	TX0007
READ_00010	TX0004
READ_00011	TX0005
READ_00012	TX0014
READ_00013	TX0020
READ_00014	TX0018
READ_00015	TX0015
READ_00016	TX0003
READ_00017	TX0009
READ_00018	TX0004
READ_00019	TX0005
READ_00020	TX0013
READ_00021	TX0005
READ_00022	TX0020
READ_00023	TX0002
READ_00024	TX0008
READ_00025	TX0003
READ_00026	TX0001
READ_00027	TX0010
READ_00028	TX0011
READ_00029	TX0015
READ_00030	TX0008
READ_00031	TX0004
READ_00032	TX0004
READ_00033	TX0018
READ_00034	TX0013
READ_00035	TX0005
READ_00036	TX0004
READ_00037	TX0002
READ_00038	TX0018
READ_00039	TX0003
READ_00040	TX0017
READ_00041	TX0018
READ_00042	TX0006
READ_00043	TX0006
READ_00044	TX0002
READ_00045	TX0020
READ_00046	TX0003
READ_00047	TX0002
READ_00048	TX0006
READ_00049	TX0010
READ_00050	TX0008
READ_00051	TX0005
READ_00052	TX0001
READ_00053	TX0017
READ_00054	TX0007
READ_00055	TX0004
READ_00056	TX0013
READ_00057	TX0010
READ_00058	TX0009
READ_00059	TX0012
READ_00060	TX0020
READ_00061	TX0009
READ_00062	TX0011
READ_00063	TX0003
READ_00064	TX0016
READ_00065	TX0005
READ_00066	TX0014
READ_00067	TX0005
READ_00068	TX0002
READ_00069	TX0018
READ_00070	TX0017
READ_00071	TX0018
READ_00072	TX0005
READ_00073	TX0014
READ_00074	TX0008
READ_00075	TX0008
READ_00076	TX0004
READ_00077	TX0004
READ_00078	TX0007
READ_00079	TX0010
READ_00080	TX0018
READ_00081	TX0013
READ_00082	TX0019
READ_00083	TX0016
READ_00084	TX0017
READ_00085	TX0012
READ_00086	TX0009
READ_00087	TX0011
READ_00088	TX0016
READ_00089	TX0008
READ_00090	TX0006
READ_00091	TX0001
READ_00092	TX0013
READ_00093	TX0014
READ_00094	TX0005
READ_00095	TX0009
READ_00096	TX0016
READ_00097	TX0011
READ_00098	TX0010
READ_00099	TX0010
READ_00100	TX0001
READ_00101	TX0019
READ_00102	TX0017
READ_00103	TX0014
READ_00104	TX0014
READ_00105	TX0015
READ_00106	TX0006
READ_00107	TX0015
READ_00108	TX0011
READ_00109	TX0005
READ_00110	TX0016
READ_00111	TX0017
READ_00112	TX0017
READ_00113	TX0018
READ_00114	TX0002
READ_00115	TX0006
READ_00116	TX0006
READ_00117	TX0006
READ_00118	TX0020
READ_00119	TX0015
READ_00120	TX0002
READ_00121	TX0010
READ_00122	TX0012
READ_00123	TX0009
READ_00124	TX0001
READ_00125	TX0002
READ_00126	TX0002
READ_00127	TX0011
READ_00128	TX0014
READ_00129	TX0002
READ_00130	TX0002
READ_00131	TX0010
READ_00132	TX0005
READ_00133	TX0010
READ_00134	TX0017
